Date,Time,Currency,News,Impact,Forecast,Previous,Direction
2/2/2017,6:00,GBP,Asset Purchase Facility,high,435.0B,435.0B,-1
2/2/2017,6:00,GBP,BoE Releases Quarterly Inflation Report,high,0,0,0
2/2/2017,6:00,GBP,BoE MPC minutes released,high,0,0,0
2/2/2017,6:00,GBP,BoE Monetary Policy Committee Meeting and Rate Decision,high,0,0,0
2/2/2017,17:50,JPY,BoJ Release Minutes,high,0,0,0
2/3/2017,7:30,USD,Unemployment Rate,high,4.70%,4.70%,-1
2/3/2017,7:30,USD,Average Hourly Earnings (m/m),high,0.30%,0.2%*,1
2/3/2017,7:30,USD,Nonfarm Payrolls,high,180.0k,157.0k*,1
2/3/2017,7:30,USD,Private Payrolls,high,175.0k,165.0k*,1
2/3/2017,9:00,USD,ISM Non-Manufacturing,high,57,56.6,1
2/10/2017,3:30,GBP,Manufacturing Production (m/m),high,0.50%,1.4%*,1
2/10/2017,3:30,GBP,Manufacturing Production (y/y),high,1.70%,1.7%*,1
2/10/2017,9:00,USD,UoM Consumer Sentiment Index,high,98,98.5,1
2/11/2017,All Day,JPY,Market Holiday - National Foundation Day,high,0,0,0
2/14/2017,3:30,GBP,CPI (m/m),high,-0.50%,0.50%,1
2/14/2017,3:30,GBP,CPI (y/y),high,1.90%,1.60%,1
2/14/2017,4:00,EUR,ZEW (Economic Sentiment),high,0,23.2,0
2/14/2017,7:30,USD,PPI (m/m),high,0.30%,0.2%*,1
2/15/2017,7:30,USD,Retail Sales (m/m),high,0.10%,1.0%*,1
2/15/2017,7:30,USD,Core Retail Sales (m/m),high,0.40%,0.4%*,1
2/15/2017,7:30,USD,Core CPI (m/m),high,0.20%,0.20%,1
2/15/2017,7:30,USD,CPI (m/m),high,0.30%,0.30%,1
2/17/2017,All Day,USD,Sovereign Debt to be Rated by Moody's,high,0,0,0
2/17/2017,3:30,GBP,Core Retail Sales (m/m),high,0.70%,-2.2%*,1
2/17/2017,3:30,GBP,Retail Sales (m/m),high,1.00%,-2.1%*,1
2/17/2017,3:30,GBP,Retail Sales (y/y),high,3.40%,4.1%*,1
2/17/2017,3:30,GBP,Core Retail Sales (y/y),high,3.90%,4.7%*,1
2/22/2017,3:00,EUR,German IFO Business Climate,high,109.6,109.8,1
2/22/2017,3:00,EUR,German IFO Expectations,high,103,103.2,1
2/22/2017,3:00,EUR,German IFO Current Conditions,high,116.6,116.9,1
2/22/2017,3:30,GBP,GDP (2nd Est.) (q/q),high,0.60%,0.60%,1
2/22/2017,3:30,GBP,GDP (2nd Est.) (y/y),high,2.20%,2.20%,1
2/22/2017,4:00,EUR,CPI (y/y),high,1.80%,1.1%*,1
2/24/2017,9:00,USD,UoM Consumer Sentiment Index,high,96,95.7,1
2/28/2017,7:30,USD,GDP (q/q ann),high,2.10%,1.90%,1
2/28/2017,9:00,USD,Consumer Confidence,high,111,111.6*,1
3/1/2017,9:00,USD,ISM Manufacturing,high,56,56,1
3/2/2017,4:00,EUR,CPI (y/y),high,2.00%,1.80%,1
3/3/2017,9:00,USD,ISM Non-Manufacturing,high,56.5,56.5,1
3/8/2017,7:15,USD,ADP National Employment Report,high,187.0k,246.0k,1
3/9/2017,6:45,EUR,ECB Interest Rate Decision,high,0.00%,0.00%,-1
3/9/2017,6:45,EUR,ECB - Deposit Rate,high,-0.40%,-0.40%,-1
3/9/2017,6:45,EUR,ECB President Draghi gives press conference following interest rate announcement,high,0,0,0
3/10/2017,3:30,GBP,Manufacturing Production (m/m),high,-0.70%,2.10%,1
3/10/2017,3:30,GBP,Manufacturing Production (y/y),high,2.90%,4.00%,1
3/10/2017,7:30,USD,Nonfarm Payrolls,high,200.0k,238.0k*,1
3/10/2017,7:30,USD,Private Payrolls,high,215.0k,221.0k*,1
3/10/2017,7:30,USD,Unemployment Rate,high,4.70%,4.80%,-1
3/10/2017,7:30,USD,Average Hourly Earnings (m/m),high,0.30%,0.2%*,1
3/14/2017,5:00,EUR,ZEW (Economic Sentiment),high,0,17.1,0
3/14/2017,7:30,USD,PPI (m/m),high,0.10%,0.60%,1
3/15/2017,All Day,JPY,BoJ Policy meeting (to 16th),high,0,0,0
3/15/2017,7:30,USD,Core CPI (m/m),high,0.20%,0.30%,1
3/15/2017,7:30,USD,CPI (m/m),high,0.00%,0.60%,1
3/15/2017,7:30,USD,Retail Sales (m/m),high,-0.10%,0.6%*,1
3/15/2017,7:30,USD,Core Retail Sales (m/m),high,0.10%,1.2%*,1
3/15/2017,13:00,USD,Federal Funds Rate,high,1.00%,0.75%,-1
3/16/2017,All Day,JPY,BoJ Policy Statement and Governor Kuroda Press Conference,high,0,0,0
3/16/2017,5:00,EUR,CPI (y/y),high,2.00%,2.00%,1
3/16/2017,7:00,GBP,BoE Monetary Policy Committee Meeting and Rate Decision,high,0,0,0
3/16/2017,7:00,GBP,BoE MPC minutes released,high,0,0,0
3/16/2017,7:00,GBP,Official Bank Rate,high,0.25%,0.25%,-1
3/16/2017,7:00,GBP,Asset Purchase Facility,high,435.0B,435.0B,-1
3/16/2017,7:00,GBP,BoE Monetary Policy Committee Meeting and Rate Decision,high,0,0,0
3/17/2017,9:00,USD,UoM Consumer Sentiment Index,high,97,96.3,1
3/21/2017,4:30,GBP,CPI (m/m),high,0.50%,-0.50%,1
3/21/2017,4:30,GBP,CPI (y/y),high,2.10%,1.80%,1
3/21/2017,18:50,JPY,BoJ Release Minutes,high,0,0,0
3/23/2017,4:30,GBP,Retail Sales (m/m),high,0.40%,-0.5%*,1
3/23/2017,4:30,GBP,Core Retail Sales (m/m),high,0.30%,-0.3%*,1
3/23/2017,4:30,GBP,Retail Sales (y/y),high,2.60%,1.0%*,1
3/23/2017,4:30,GBP,Core Retail Sales (y/y),high,3.20%,2.1%*,1
3/27/2017,3:00,EUR,German IFO Current Conditions,high,118.3,118.4,1
3/27/2017,3:00,EUR,German IFO Business Climate,high,111.1,111.1*,1
3/27/2017,3:00,EUR,German IFO Expectations,high,104.3,104.2*,1
3/28/2017,9:00,USD,Consumer Confidence,high,114,116.1*,1
3/30/2017,7:30,USD,GDP (q/q ann),high,2.00%,1.90%,1
3/31/2017,3:30,GBP,GDP (Final) (q/q),high,0.70%,0.70%,1
3/31/2017,3:30,GBP,GDP (Final) (y/y),high,2.00%,2.00%,1
3/31/2017,4:00,EUR,CPI (y/y),high,1.80%,2.00%,1
3/31/2017,9:00,USD,UoM Consumer Sentiment Index,high,97.6,97.6,1
4/3/2017,9:00,USD,ISM Manufacturing,high,57.2,57.7,1
4/5/2017,7:15,USD,ADP National Employment Report,high,185.0k,298.0k,1
4/5/2017,9:00,USD,ISM Non-Manufacturing,high,57,57.6,1
4/5/2017,12:00,USD,Federal Reserve FOMC Meeting Minutes,high,0,0,0
4/7/2017,3:30,GBP,Manufacturing Production (m/m),high,0.30%,-1.0%*,1
4/7/2017,3:30,GBP,Manufacturing Production (y/y),high,3.90%,2.6%*,1
4/7/2017,7:30,USD,Private Payrolls,high,170.0k,221.0k*,1
4/7/2017,7:30,USD,Nonfarm Payrolls,high,180.0k,219.0k*,1
4/7/2017,7:30,USD,Unemployment Rate,high,4.70%,4.70%,1
4/7/2017,7:30,USD,Average Hourly Earnings (m/m),high,0.20%,0.20%,1
4/11/2017,3:30,GBP,CPI (m/m),high,0.30%,0.70%,1
4/11/2017,3:30,GBP,CPI (y/y),high,2.30%,2.30%,1
4/11/2017,4:00,EUR,ZEW (Economic Sentiment),high,0,25.6,0
4/13/2017,7:30,USD,PPI (m/m),high,0.00%,0.3%*,1
4/13/2017,9:00,USD,UoM Consumer Sentiment Index,high,96.5,96.9,1
4/14/2017,All Day,EUR,German Market Holiday - Good Friday,high,0,0,0
4/14/2017,All Day,GBP,Market Holiday - Good Friday,high,0,0,0
4/14/2017,6:30,USD,Retail Sales (m/m),high,-0.20%,-0.3%*,1
4/14/2017,6:30,USD,Core Retail Sales (m/m),high,0.30%,0.0%*,1
4/14/2017,7:30,USD,CPI (m/m),high,0.00%,0.10%,1
4/14/2017,7:30,USD,Core CPI (m/m),high,0.20%,0.20%,1
4/17/2017,All Day,EUR,French Market Holiday - Easter Monday,high,0,0,0
4/17/2017,All Day,EUR,German Market Holiday - Easter Monday,high,0,0,0
4/17/2017,All Day,GBP,Market Holiday - Easter Monday,high,0,0,0
4/19/2017,All Day,JPY,Cabinet Office April Economic Report,high,0,0,0
4/19/2017,4:00,EUR,CPI (y/y),high,1.50%,1.50%,1
4/21/2017,3:30,GBP,Retail Sales (m/m),high,-0.50%,1.7%*,1
4/21/2017,3:30,GBP,Core Retail Sales (m/m),high,-0.50%,1.6%*,1
4/21/2017,3:30,GBP,Core Retail Sales (y/y),high,3.80%,4.10%,1
4/21/2017,3:30,GBP,Retail Sales (y/y),high,3.30%,3.70%,1
4/24/2017,2:00,EUR,German IFO Current Conditions,high,119.2,119.5*,1
4/24/2017,2:00,EUR,German IFO Business Climate,high,112.4,112.3,1
4/24/2017,2:00,EUR,German IFO Expectations,high,105.9,105.7,1
4/25/2017,9:00,USD,Consumer Confidence,high,122.5,124.9*,1
4/26/2017,All Day,EUR,German Frankfurt Finance Summit,high,0,0,0
4/27/2017,All Day,JPY,BoJ Outlook Report,high,0,0,0
4/27/2017,1:30,JPY,BoJ Policy Statement and Governor Kuroda Press Conference,high,0,0,0
4/27/2017,6:45,EUR,ECB Interest Rate Decision,high,0.00%,0.00%,-1
4/27/2017,6:45,EUR,ECB - Deposit Rate,high,-0.40%,-0.40%,-1
4/27/2017,7:30,EUR,ECB President Draghi gives press conference following interest rate announcement,high,0,0,0
4/28/2017,3:30,GBP,GDP (Prelim) (q/q),high,0.40%,0.70%,1
4/28/2017,3:30,GBP,GDP (Prelim) (y/y),high,2.20%,1.90%,1
4/28/2017,4:00,EUR,CPI (y/y),high,1.80%,1.50%,1
4/28/2017,7:30,USD,GDP (q/q ann),high,1.00%,2.10%,1
4/28/2017,9:00,USD,UoM Consumer Sentiment Index,high,98,98,1
4/29/2017,All Day,JPY,Market Holiday - Showa Day,high,0,0,0
5/1/2017,All Day,EUR,French Market Holiday - Labour Day,high,0,0,0
5/1/2017,All Day,GBP,Market Holiday - Early May Bank Holiday,high,0,0,0
5/1/2017,All Day,EUR,German Market Holiday - Labour Day,high,0,0,0
5/1/2017,9:00,USD,ISM Manufacturing,high,56.5,57.2,1
5/2/2017,All Day,JPY,BoJ Release Minutes,high,0,0,0
5/2/2017,7:15,EUR,Germany's Schaueble Speaks in Berlin,high,0,0,0
5/3/2017,All Day,JPY,Market Holiday - Constitutional Memorial Day,high,0,0,0
5/3/2017,4:00,EUR,EU's Barnier Speaks in Brussels,high,0,0,0
5/3/2017,7:15,USD,ADP National Employment Report,high,175.0k,263.0k,1
5/3/2017,9:00,USD,ISM Non-Manufacturing,high,55.8,55.2,1
5/3/2017,13:00,USD,Federal Funds Rate,high,1.00%,1.00%,-1
5/3/2017,13:00,USD,Federal Reserve FOMC meeting,high,0,0,0
5/4/2017,All Day,JPY,Market Holiday - Greenery Day,high,0,0,0
5/5/2017,All Day,JPY,Market Holiday - Childrens Day,high,0,0,0
5/5/2017,7:30,USD,Unemployment Rate,high,4.60%,4.50%,-1
5/5/2017,7:30,USD,Average Hourly Earnings (m/m),high,0.30%,0.1%*,1
5/5/2017,7:30,USD,Nonfarm Payrolls,high,190.0k,79.0k*,1
5/5/2017,7:30,USD,Private Payrolls,high,190.0k,77.0k*,1
5/7/2017,All Day,EUR,French Presidential Election,high,0,0,0
5/8/2017,All Day,EUR,French Market Holiday - V-E Day,high,0,0,0
5/8/2017,7:35,USD,Fed's Bullard Speaks in Florida,high,0,0,0
5/9/2017,8:00,USD,Fed's Kashkari Speaks in Minneapolis,high,0,0,0
5/9/2017,10:40,USD,Fed's George Speaks in Santa Barbara,high,0,0,0
5/10/2017,12:20,USD,Fed's Kashkari Speaks in Minnesota,high,0,0,0
5/11/2017,6:00,GBP,BoE Monetary Policy Committee Meeting and Rate Decision,high,0,0,0
5/11/2017,6:00,GBP,BoE MPC minutes released,high,0,0,0
5/11/2017,6:00,GBP,BoE Releases Quarterly Inflation Report,high,0,0,0
5/11/2017,6:00,GBP,Official Bank Rate,high,0.25%,0.25%,-1
5/11/2017,6:00,GBP,Asset Purchase Facility,high,435.0B,435.0B,-1
5/11/2017,6:30,GBP,BoE's Carney Speaks in London,high,0,0,0
5/11/2017,7:30,USD,PPI (m/m),high,0.20%,-0.10%,1
5/11/2017,7:45,USD,Bloomberg May Economic Survey,high,0,0,0
5/12/2017,7:30,USD,Retail Sales (m/m),high,0.50%,0.1%*,1
5/12/2017,7:30,USD,Core Retail Sales (m/m),high,0.50%,0.3%*,1
5/12/2017,7:30,USD,CPI (m/m),high,0.20%,-0.30%,1
5/12/2017,7:30,USD,Core CPI (m/m),high,0.20%,-0.10%,1
5/12/2017,9:00,USD,UoM Consumer Sentiment Index,high,97,97,1
5/15/2017,1:30,EUR,Bloomberg May Economic Survey,high,0,0,0
5/16/2017,3:30,GBP,CPI (m/m),high,0.40%,0.40%,1
5/16/2017,3:30,GBP,CPI (y/y),high,2.40%,2.30%,1
5/16/2017,4:00,EUR,ZEW (Economic Sentiment),high,0,26.3,0
5/17/2017,4:00,EUR,CPI (y/y),high,1.90%,1.5%*,1
5/17/2017,10:10,USD,Former Fed Chairman Bernanke Speaks,high,0,0,0
5/18/2017,2:30,GBP,Bloomberg May Economic Survey,high,0,0,0
5/18/2017,3:30,GBP,Retail Sales (m/m),high,1.10%,-1.4%*,1
5/18/2017,3:30,GBP,Core Retail Sales (m/m),high,1.00%,-1.2%*,1
5/18/2017,3:30,GBP,Core Retail Sales (y/y),high,2.60%,2.8%*,1
5/18/2017,3:30,GBP,Retail Sales (y/y),high,2.10%,2.0%*,1
5/18/2017,3:50,EUR,ECB's Mersch Speaks in Frankfurt,high,0,0,0
5/18/2017,8:30,EUR,ECB's Mersch Speaks in Luxembourg ,high,0,0,0
5/19/2017,6:00,EUR,ECB's Coeure Speaks in Geneva,high,0,0,0
5/20/2017,All Day,EUR,EU & Euro-Area Finance Ministers Meet in Brussels (to 23rd),high,0,0,0
5/22/2017,8:00,EUR,EU's Verhofstadt and Malstrom Speak in Brussels,high,0,0,0
5/22/2017,9:00,USD,Fed's Harker Speaks in Philidelphia,high,0,0,0
5/23/2017,3:00,EUR,German IFO Business Climate,high,113.1,112.9,1
5/23/2017,3:00,EUR,German IFO Expectations,high,105.4,105.2,1
5/23/2017,3:00,EUR,German IFO Current Conditions,high,121,121.1,1
5/23/2017,9:00,EUR,ECB's Coure Speaks in Brussels,high,0,0,0
5/23/2017,21:00,JPY,Cabinet Office May Economic Report,high,0,0,0
5/24/2017,8:45,EUR,ECB's Draghi Speaks in Madrid,high,0,0,0
5/24/2017,13:00,USD,Federal Reserve Meeting Minutes,high,0,0,0
5/25/2017,All Day,EUR,German Market Holiday - Ascension Day,high,0,0,0
5/25/2017,All Day,EUR,French Market Holiday - Ascension Day,high,0,0,0
5/25/2017,3:30,GBP,GDP (2nd Est) (q/q),high,0.30%,0.30%,1
5/25/2017,3:30,GBP,GDP (2nd Est) (y/y),high,2.10%,2.10%,1
5/25/2017,20:00,JPY,Bloomberg May Economic Survey,high,0,0,0
5/26/2017,7:30,USD,GDP (q/q ann),high,0.90%,0.70%,1
5/26/2017,9:00,USD,UoM Consumer Sentiment Index,high,97.5,97.7,1
5/28/2017,All Day,EUR,German Bundesbank Weidmann Speaks in Berlin,high,0,0,0
5/29/2017,All Day,GBP,Market Holiday - Spring Bank Holiday,high,0,0,0
5/29/2017,All Day,USD,Market Holiday - Memorial Day ,high,0,0,0
5/30/2017,9:00,USD,Consumer Confidence,high,119.8,120.3,1
5/31/2017,4:00,EUR,CPI (y/y),high,1.50%,1.90%,1
6/1/2017,All Day,GBP,Sovereign Debt to be Rated by Moody's,high,0,0,0
6/1/2017,7:15,USD,ADP National Employment Report,high,180.0k,177.0k,1
6/1/2017,9:00,USD,ISM Manufacturing,high,54.7,54.8,1
6/2/2017,7:30,USD,Average Hourly Earnings (m/m),high,0.20%,0.2%*,1
6/2/2017,7:30,USD,Unemployment Rate,high,4.40%,4.40%,-1
6/2/2017,7:30,USD,Nonfarm Payrolls,high,182.0k,174.0k*,1
6/2/2017,7:30,USD,Private Payrolls,high,175.0k,173.0k*,1
6/5/2017,All Day,EUR,French Market Holiday - Whitmonday,high,0,0,0
6/5/2017,All Day,EUR,German Market Holiday - Whitmonday,high,0,0,0
6/5/2017,9:00,USD,ISM Non-Manufacturing,high,57.1,57.5,1
6/8/2017,6:45,EUR,ECB Interest Rate Decision,high,0.00%,0.00%,-1
6/8/2017,6:45,EUR,ECB - Deposit Rate,high,-0.40%,-0.40%,-1
6/8/2017,8:30,EUR,ECB President Draghi gives press conference following interest rate announcement,high,0,0,0
6/9/2017,3:30,GBP,Manufacturing Production (y/y),high,0.70%,2.2%*,1
6/9/2017,3:30,GBP,Manufacturing Production (m/m),high,0.80%,-0.6%*,1
6/13/2017,3:30,GBP,CPI (m/m),high,0.20%,0.50%,1
6/13/2017,3:30,GBP,CPI (y/y),high,2.70%,2.70%,1
6/13/2017,4:00,EUR,ZEW (Economic Sentiment),high,0,35.1,0
6/13/2017,5:00,EUR,ECB's Lautenschlager Speaks in London,high,0,0,0
6/13/2017,7:30,USD,PPI (m/m),high,0.00%,0.50%,1
6/13/2017,9:20,GBP,BoE's Cleland Speaks in London,high,0,0,0
6/14/2017,7:30,USD,CPI (m/m),high,0.00%,0.20%,1
6/14/2017,7:30,USD,Core CPI (m/m),high,0.20%,0.10%,1
6/14/2017,7:30,USD,Retail Sales (m/m),high,0.00%,0.40%,1
6/14/2017,7:30,USD,Core Retail Sales (m/m),high,0.20%,0.4%*,1
6/14/2017,13:00,USD,Federal Reserve FOMC meeting,high,0,0,0
6/14/2017,13:00,USD,Federal Funds Rate,high,1.25%,1.00%,-1
6/15/2017,All Day,GBP,BoE Monetary Policy Committee Meeting and Rate Decision,high,0,0,0
6/15/2017,All Day,GBP,BoE MPC minutes released,high,0,0,0
6/15/2017,3:30,GBP,Core Retail Sales (m/m),high,-1.00%,2.2%*,1
6/15/2017,3:30,GBP,Retail Sales (m/m),high,-0.80%,2.5%*,1
6/15/2017,3:30,GBP,Core Retail Sales (y/y),high,1.90%,4.6%*,1
6/15/2017,3:30,GBP,Retail Sales (y/y),high,1.60%,4.2%*,1
6/15/2017,6:00,GBP,Official Bank Rate,high,0.25%,0.25%,-1
6/15/2017,6:00,GBP,Asset Purchase Facility,high,435.0B,435.0B,-1
6/16/2017,All Day,JPY,BoJ Policy Statement and Governor Kuroda Press Conference,high,0,0,0
6/16/2017,All Day,GBP,Sovereign Debt to be Rated by DBRS,high,0,0,0
6/16/2017,4:00,EUR,CPI (y/y),high,1.40%,1.9%*,1
6/16/2017,9:00,USD,UoM Consumer Sentiment Index,high,97,97.1,1
6/19/2017,All Day,GBP,BoE's Carney & Philip Hammond Speak in London,high,0,0,0
6/20/2017,18:50,JPY,BoJ Release Minutes,high,0,0,0
6/22/2017,All Day,JPY,June Economic Report,high,0,0,0
6/22/2017,All Day,EUR,ECB's Draghi Speaks in Brussels,high,0,0,0
6/22/2017,All Day,EUR,ECB President Draghi speaks in Brussels,high,0,0,0
6/23/2017,All Day,USD,Sovereign Debt to be Rated by Moody's,high,0,0,0
6/26/2017,3:00,EUR,German IFO Expectations,high,106.4,106.5,1
6/26/2017,3:00,EUR,German IFO Current Conditions,high,123.3,123.2,1
6/26/2017,3:00,EUR,German IFO Business Climate,high,114.5,114.6,1
6/27/2017,All Day,GBP,Financial Stability Report,high,0,0,0
6/27/2017,9:00,USD,Consumer Confidence,high,116,117.6*,1
6/28/2017,5:45,EUR,"ECB's Lautenschlager speaks in Bonn, Germany",high,0,0,0
6/28/2017,8:30,GBP,BoE's Carney Speaks in Sintra,high,0,0,0
6/28/2017,9:30,EUR,ECB's Draghi Speaks in Sintra,high,0,0,0
6/29/2017,7:30,USD,GDP (q/q ann),high,1.20%,1.20%,1
6/29/2017,13:30,EUR,"ECB's Angeloni speaks in Florence, Italy",high,0,0,0
6/30/2017,All Day,EUR,ECB's Coeure speaks in Brussels,high,0,0,0
6/30/2017,3:30,GBP,GDP (Final) (q/q),high,0.20%,0.20%,1
6/30/2017,3:30,GBP,GDP (Final) (y/y),high,2.00%,2.00%,1
6/30/2017,4:00,EUR,CPI (y/y),high,1.20%,1.40%,1
6/30/2017,6:30,EUR,"ECB's Lautenschlager speaks in Berlin, Germany",high,0,0,0
6/30/2017,9:00,USD,UoM Consumer Sentiment Index,high,94.5,94.5,1
7/3/2017,3:35,USD,Fed's Bullard Speaks in London,high,0,0,0
7/3/2017,7:00,GBP,BoE's Carney Speaks ,high,0,0,0
7/3/2017,11:00,EUR,EU's Juncker Speaks in Strasbourg,high,0,0,0
7/3/2017,12:30,GBP,BoE's Haldane speaks in London,high,0,0,0
7/4/2017,All Day,USD,Market Holiday - Independace Day,high,0,0,0
7/4/2017,2:00,EUR,EU's Juncker Speaks in Strasbourg,high,0,0,0
7/4/2017,7:00,EUR,ECB's Praet Speaks in Rome,high,0,0,0
7/5/2017,13:00,USD,FOMC Meeting Minutes,high,0,0,0
7/6/2017,All Day,EUR,"G20 International Summit in Hamburg, Germany",high,0,0,0
7/6/2017,6:00,EUR,ECB's Praet Speaks in Paris ,high,0,0,0
7/6/2017,7:15,USD,ADP National Employment Report,high,185.0k,253.0k,1
7/6/2017,9:00,USD,ISM Non-Manufacturing,high,56.5,56.9,1
7/7/2017,All Day,GBP,BoE's Cunliffe Speaks in France,high,0,0,0
7/7/2017,3:30,GBP,Manufacturing Production (y/y),high,1.00%,0.00%,1
7/7/2017,3:30,GBP,Manufacturing Production (m/m),high,0.50%,0.20%,1
7/7/2017,7:30,USD,Average Hourly Earnings (m/m),high,0.30%,0.1%*,1
7/7/2017,7:30,USD,Unemployment Rate,high,4.30%,4.30%,-1
7/7/2017,7:30,USD,Nonfarm Payrolls,high,177.0k,152.0k*,1
7/7/2017,7:30,USD,Private Payrolls,high,170.0k,159.0k*,1
7/8/2017,All Day,EUR,ECB Meeting and Interest Rate Announcement,high,0,0,0
7/12/2017,8:00,USD,Fed Chair Yellen's testimony to Congress,high,0,0,0
7/12/2017,12:00,USD,Federal Reserve beige book release,high,0,0,0
7/13/2017,7:30,USD,PPI (m/m),high,0.00%,0.00%,1
7/13/2017,7:30,USD,Fed Chair Yellen's testimony to Senate Banking Committee,high,0,0,0
7/14/2017,All Day,EUR,French Market Holiday - Bastille Day,high,0,0,0
7/14/2017,7:30,USD,CPI (m/m),high,0.10%,-0.10%,1
7/14/2017,7:30,USD,Core CPI (m/m),high,0.20%,0.10%,1
7/14/2017,7:30,USD,Retail Sales (m/m),high,0.10%,-0.1%*,1
7/14/2017,7:30,USD,Core Retail Sales (m/m),high,0.20%,-0.30%,1
7/14/2017,9:00,USD,UoM Consumer Sentiment Index,high,95,95.1,1
7/16/2017,All Day,GBP,Next Round of Brexit negotiations commences,high,0,0,0
7/17/2017,All Day,JPY,Market Holiday - Marine Day,high,0,0,0
7/17/2017,4:00,EUR,CPI (y/y),high,1.30%,1.30%,1
7/18/2017,All Day,JPY,BOJ Monetary Policy Meeting,high,0,0,0
7/18/2017,3:30,GBP,CPI (m/m),high,0.20%,0.30%,1
7/18/2017,3:30,GBP,CPI (y/y),high,2.90%,2.90%,1
7/18/2017,4:00,EUR,ZEW (Economic Sentiment),high,0,37.7,0
7/19/2017,All Day,EUR,"ECB Governing Council Meeting, followed by interest rate announcement",high,0,0,0
7/20/2017,All Day,JPY,BoJ Outlook Report,high,0,0,0
7/20/2017,0:30,JPY,BoJ Policy Statement and Governor Kuroda Press Conference,high,0,0,0
7/20/2017,3:30,GBP,Core Retail Sales (m/m),high,0.50%,-1.5%*,1
7/20/2017,3:30,GBP,Retail Sales (m/m),high,0.40%,-1.1%*,1
7/20/2017,3:30,GBP,Core Retail Sales (y/y),high,2.50%,0.60%,1
7/20/2017,3:30,GBP,Retail Sales (y/y),high,2.50%,0.90%,1
7/20/2017,6:45,EUR,"ECB Governing Council meeting, followed by interest rate announcement",high,0,0,0
7/20/2017,6:45,EUR,ECB Interest Rate Decision,high,0.00%,0.00%,-1
7/20/2017,6:45,EUR,ECB - Deposit Rate,high,-0.40%,-0.40%,-1
7/20/2017,7:30,EUR,ECB President Draghi gives press conference following interest rate announcement,high,0,0,0
7/25/2017,3:00,EUR,German IFO Current Conditions,high,123.8,124.2*,1
7/25/2017,3:00,EUR,German IFO Business Climate,high,114.9,115.1,1
7/25/2017,3:00,EUR,German IFO Expectations,high,106.5,106.8,1
7/25/2017,9:00,USD,Consumer Confidence,high,116.5,117.3*,1
7/25/2017,18:50,JPY,BoJ Release Minutes of June meeting,high,0,0,0
7/26/2017,3:30,GBP,GDP (Prelim) (q/q),high,0.30%,0.20%,1
7/26/2017,3:30,GBP,GDP (Prelim) (y/y),high,1.70%,2.00%,1
7/26/2017,13:00,USD,Federal Funds Rate,high,1.25%,1.25%,-1
7/28/2017,7:30,USD,GDP (q/q ann),high,2.70%,1.2%*,1
7/28/2017,9:00,USD,UoM Consumer Sentiment Index,high,93.1,93.1,1
7/28/2017,18:50,JPY,BoJ release summary of opinions from July meeting,high,0,0,0
7/31/2017,4:00,EUR,CPI (y/y),high,1.30%,1.30%,1
8/1/2017,9:00,USD,ISM Manufacturing,high,56.5,57.8,1
8/2/2017,7:15,USD,ADP National Employment Report,high,190.0k,191.0k*,1
8/3/2017,6:00,GBP,BoE Releases Quarterly Inflation Report,high,0,0,0
